epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.40468,1.15222,1.95195,1.1549,0.48393,0.57432,0.47611,0.32083,1.0818,3.84443,1.09362,0.0002125,0.0002125,0.0002125
2,13.1001,0.88788,0.74898,0.99616,0.65866,0.52626,0.57696,0.41737,0.99901,1.68095,1.02083,0.000433169,0.000433169,0.000433169
3,17.771,0.84032,0.67852,0.97348,0.65971,0.59317,0.58454,0.41529,1.00789,0.99293,1.04151,0.000649382,0.000649382,0.000649382
4,22.3198,0.79423,0.63166,0.94328,0.61017,0.6264,0.55784,0.37707,1.10391,1.05405,1.08103,0.000861141,0.000861141,0.000861141
5,27.2486,0.79638,0.60604,0.93702,0.6315,0.57745,0.60919,0.39509,1.11678,1.01649,1.06513,0.00106844,0.00106844,0.00106844
6,32.2608,0.81287,0.6046,0.94356,0.67005,0.66834,0.61597,0.39917,1.10049,1.12877,1.04879,0.00118812,0.00118812,0.00118812
7,37.0768,0.75479,0.57224,0.92771,0.63942,0.68085,0.59403,0.39753,1.02318,0.94351,1.03545,0.00117575,0.00117575,0.00117575
8,41.7458,0.72009,0.54876,0.91809,0.7618,0.73539,0.65642,0.41318,1.11285,0.94679,1.09015,0.00116337,0.00116337,0.00116337
9,45.9716,0.70896,0.52831,0.90779,0.69863,0.66492,0.61431,0.39852,1.06759,0.88296,1.05995,0.001151,0.001151,0.001151
10,50.3382,0.67641,0.51958,0.90216,0.77094,0.57705,0.60931,0.41462,1.10605,0.85891,1.07835,0.00113863,0.00113863,0.00113863
11,54.7629,0.65657,0.5044,0.89949,0.71137,0.71897,0.64566,0.40173,1.13999,0.851,1.09151,0.00112625,0.00112625,0.00112625
12,59.0356,0.65432,0.4985,0.90033,0.73224,0.71207,0.64154,0.39997,1.10973,0.84556,1.07538,0.00111388,0.00111388,0.00111388
13,63.5076,0.63916,0.48723,0.89443,0.68861,0.69862,0.62907,0.43001,1.04476,0.80804,1.05449,0.0011015,0.0011015,0.0011015
14,67.7145,0.63532,0.48125,0.89379,0.69514,0.67479,0.63324,0.41687,1.05016,0.80364,1.04987,0.00108913,0.00108913,0.00108913
15,71.8314,0.6479,0.48535,0.89237,0.65194,0.71425,0.60299,0.41216,1.08871,0.85468,1.06718,0.00107675,0.00107675,0.00107675
16,76.0036,0.61435,0.47069,0.8808,0.67594,0.72247,0.60361,0.4088,1.05572,0.86299,1.05897,0.00106437,0.00106437,0.00106437
17,80.101,0.60477,0.46397,0.87987,0.67756,0.70576,0.60833,0.41685,1.06603,0.90026,1.06097,0.001052,0.001052,0.001052
18,84.3091,0.58625,0.46166,0.87665,0.71762,0.65756,0.62695,0.42794,1.08092,0.88697,1.06778,0.00103962,0.00103962,0.00103962
19,88.5274,0.59001,0.45584,0.87819,0.75451,0.68376,0.63352,0.4159,1.05683,0.85697,1.04928,0.00102725,0.00102725,0.00102725
20,93.116,0.57872,0.45366,0.87892,0.734,0.64121,0.63019,0.41746,1.07559,0.8973,1.06592,0.00101488,0.00101488,0.00101488
21,97.2529,0.59595,0.46023,0.87578,0.74035,0.64599,0.64189,0.42545,1.06774,0.83827,1.06086,0.0010025,0.0010025,0.0010025
22,101.364,0.5645,0.44553,0.8708,0.68787,0.69338,0.62493,0.41274,1.07738,0.9327,1.06958,0.000990125,0.000990125,0.000990125
23,105.482,0.57531,0.44717,0.87271,0.70662,0.64941,0.60709,0.39978,1.12769,0.91093,1.0778,0.00097775,0.00097775,0.00097775
24,109.593,0.57631,0.44436,0.86855,0.76457,0.66332,0.66046,0.44419,1.07091,0.80064,1.06652,0.000965375,0.000965375,0.000965375
25,113.683,0.56657,0.44133,0.87023,0.73375,0.69199,0.64938,0.43248,1.09924,0.84091,1.06236,0.000953,0.000953,0.000953
26,118.393,0.56544,0.43822,0.86825,0.74379,0.69161,0.64414,0.43005,1.11391,0.81692,1.08785,0.000940625,0.000940625,0.000940625
27,123.041,0.55305,0.44277,0.86496,0.70789,0.69893,0.64946,0.42785,1.07578,0.85979,1.0658,0.00092825,0.00092825,0.00092825
28,127.239,0.56248,0.44038,0.87469,0.73227,0.65145,0.63379,0.41936,1.06217,0.92852,1.06051,0.000915875,0.000915875,0.000915875
29,131.456,0.54139,0.42493,0.86165,0.72133,0.71131,0.6786,0.44723,1.04971,0.80633,1.04244,0.0009035,0.0009035,0.0009035
30,135.691,0.53689,0.42646,0.86473,0.72653,0.73756,0.6931,0.4626,1.04456,0.77866,1.04277,0.000891125,0.000891125,0.000891125
31,139.889,0.53603,0.42701,0.86246,0.71782,0.74028,0.67321,0.4466,1.03048,0.79002,1.04746,0.00087875,0.00087875,0.00087875
32,144.32,0.52789,0.42402,0.86342,0.72311,0.71748,0.66346,0.44952,1.05073,0.81598,1.05488,0.000866375,0.000866375,0.000866375
33,148.437,0.52795,0.4198,0.86382,0.72738,0.69072,0.69063,0.44792,1.06017,0.843,1.05189,0.000854,0.000854,0.000854
34,152.558,0.53662,0.42442,0.86399,0.73491,0.73164,0.67192,0.44062,1.04107,0.82122,1.06369,0.000841625,0.000841625,0.000841625
35,157.027,0.53382,0.41522,0.86085,0.7843,0.69563,0.6891,0.44246,1.04582,0.78744,1.06388,0.00082925,0.00082925,0.00082925
36,161.085,0.52641,0.4118,0.85512,0.74228,0.7203,0.68512,0.45171,1.08535,0.79632,1.07591,0.000816875,0.000816875,0.000816875
37,165.232,0.52223,0.41248,0.86016,0.79977,0.66983,0.69648,0.44495,1.04758,0.77159,1.06054,0.0008045,0.0008045,0.0008045
38,169.461,0.52615,0.41218,0.86093,0.86514,0.64351,0.7045,0.4723,1.02343,0.75948,1.04818,0.000792125,0.000792125,0.000792125
39,173.56,0.5174,0.4099,0.85528,0.81892,0.67161,0.69608,0.46385,1.03756,0.76605,1.04478,0.00077975,0.00077975,0.00077975
40,177.723,0.52135,0.40969,0.85616,0.72294,0.72774,0.67909,0.46197,1.02941,0.80963,1.0462,0.000767375,0.000767375,0.000767375
41,181.834,0.5158,0.4087,0.85292,0.82757,0.61421,0.67339,0.44686,1.01404,0.80847,1.04305,0.000755,0.000755,0.000755
42,186.363,0.50765,0.4043,0.85406,0.75397,0.66335,0.67196,0.44221,1.04391,0.77804,1.05421,0.000742625,0.000742625,0.000742625
43,190.463,0.50654,0.40588,0.85397,0.75791,0.71442,0.70169,0.47071,1.05035,0.79972,1.05798,0.00073025,0.00073025,0.00073025
44,194.513,0.50632,0.40348,0.85766,0.79616,0.64918,0.69014,0.46911,1.06085,0.84015,1.06627,0.000717875,0.000717875,0.000717875
